,competition_stage,home_team,home_score,away_score,away_team,Score,Full_Match_Info
0,Group Stage,Belgium,5,2,Tunisia,5-2,Belgium 5-2 Tunisia
1,Group Stage,Peru,0,1,Denmark,0-1,Peru 0-1 Denmark
2,Group Stage,Uruguay,1,0,Saudi Arabia,1-0,Uruguay 1-0 Saudi Arabia
3,Group Stage,South Korea,1,2,Mexico,1-2,South Korea 1-2 Mexico
4,Group Stage,Spain,2,2,Morocco,2-2,Spain 2-2 Morocco
5,Group Stage,Brazil,1,1,Switzerland,1-1,Brazil 1-1 Switzerland
6,Group Stage,Nigeria,1,2,Argentina,1-2,Nigeria 1-2 Argentina
7,Group Stage,Japan,2,2,Senegal,2-2,Japan 2-2 Senegal
8,Group Stage,Saudi Arabia,2,1,Egypt,2-1,Saudi Arabia 2-1 Egypt
9,Group Stage,Japan,0,1,Poland,0-1,Japan 0-1 Poland
10,Group Stage,Morocco,0,1,Iran,0-1,Morocco 0-1 Iran
11,Group Stage,Iran,0,1,Spain,0-1,Iran 0-1 Spain
12,Group Stage,Russia,5,0,Saudi Arabia,5-0,Russia 5-0 Saudi Arabia
13,Group Stage,Sweden,1,0,South Korea,1-0,Sweden 1-0 South Korea
14,Group Stage,Portugal,3,3,Spain,3-3,Portugal 3-3 Spain
15,Group Stage,Portugal,1,0,Morocco,1-0,Portugal 1-0 Morocco
16,Group Stage,Mexico,0,3,Sweden,0-3,Mexico 0-3 Sweden
17,Group Stage,Iran,1,1,Portugal,1-1,Iran 1-1 Portugal
18,Group Stage,England,6,1,Panama,6-1,England 6-1 Panama
19,Group Stage,England,0,1,Belgium,0-1,England 0-1 Belgium
20,Group Stage,South Korea,2,0,Germany,2-0,South Korea 2-0 Germany
21,Group Stage,Colombia,1,2,Japan,1-2,Colombia 1-2 Japan
22,Group Stage,Russia,3,1,Egypt,3-1,Russia 3-1 Egypt
23,Group Stage,Germany,2,1,Sweden,2-1,Germany 2-1 Sweden
24,Group Stage,Serbia,1,2,Switzerland,1-2,Serbia 1-2 Switzerland
25,Group Stage,Argentina,1,1,Iceland,1-1,Argentina 1-1 Iceland
26,Group Stage,Tunisia,1,2,England,1-2,Tunisia 1-2 England
27,Group Stage,Denmark,0,0,France,0-0,Denmark 0-0 France
28,Group Stage,Nigeria,2,0,Iceland,2-0,Nigeria 2-0 Iceland
29,Group Stage,Poland,0,3,Colombia,0-3,Poland 0-3 Colombia
30,Group Stage,Croatia,2,0,Nigeria,2-0,Croatia 2-0 Nigeria
31,Group Stage,Brazil,2,0,Costa Rica,2-0,Brazil 2-0 Costa Rica
32,Group Stage,Germany,0,1,Mexico,0-1,Germany 0-1 Mexico
33,Group Stage,Australia,0,2,Peru,0-2,Australia 0-2 Peru
34,Group Stage,Serbia,0,2,Brazil,0-2,Serbia 0-2 Brazil
35,Group Stage,Senegal,0,1,Colombia,0-1,Senegal 0-1 Colombia
36,Group Stage,Panama,1,2,Tunisia,1-2,Panama 1-2 Tunisia
37,Group Stage,Switzerland,2,2,Costa Rica,2-2,Switzerland 2-2 Costa Rica
38,Group Stage,Egypt,0,1,Uruguay,0-1,Egypt 0-1 Uruguay
39,Group Stage,Uruguay,3,0,Russia,3-0,Uruguay 3-0 Russia
40,Group Stage,France,2,1,Australia,2-1,France 2-1 Australia
41,Group Stage,Costa Rica,0,1,Serbia,0-1,Costa Rica 0-1 Serbia
42,Group Stage,Poland,1,2,Senegal,1-2,Poland 1-2 Senegal
43,Group Stage,France,1,0,Peru,1-0,France 1-0 Peru
44,Group Stage,Iceland,1,2,Croatia,1-2,Iceland 1-2 Croatia
45,Group Stage,Belgium,3,0,Panama,3-0,Belgium 3-0 Panama
46,Group Stage,Argentina,0,3,Croatia,0-3,Argentina 0-3 Croatia
47,Group Stage,Denmark,1,1,Australia,1-1,Denmark 1-1 Australia
